disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,date_x,trans_price,date_y,current_price
2021,02/25/2021,2021-01-15,self,FB,Facebook Inc,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False,2021-01-15,251.36000061035156,2022-06-09,196.63999938964844
2021,02/25/2021,2021-01-15,dependent,FB,Facebook Inc,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False,2021-01-15,251.36000061035156,2022-06-09,196.63999938964844
2020,09/03/2020,2020-08-07,self,FB,"Facebook, Inc. - Class A",sale_full,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017123.pdf,False,2020-08-07,268.44000244140625,2022-06-09,196.63999938964844
2021,04/16/2021,2021-03-08,self,FB,Facebook Class A,purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217938.pdf,False,2021-03-08,255.30999755859375,2022-06-09,196.63999938964844
2020,06/15/2020,2020-05-13,,FB,"Facebook, Inc. - Class A",purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016759.pdf,False,2020-05-13,205.1000061035156,2022-06-09,196.63999938964844
2022,03/18/2022,2022-02-07,joint,FB,"Meta Platforms Inc, Class A",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-07,224.91000366210935,2022-06-09,196.63999938964844
2020,09/11/2020,2020-08-10,,FB,"Facebook, Inc. - Class A",purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017340.pdf,False,2020-08-10,263.0,2022-06-09,196.63999938964844
2020,10/09/2020,2020-09-23,,FB,"Facebook, Inc. - Class A",purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017490.pdf,False,2020-09-23,249.02000427246097,2022-06-09,196.63999938964844
2022,01/10/2022,2021-12-02,joint,FB,Meta Platforms Inc -  Class A,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020154.pdf,False,2021-12-02,310.3900146484375,2022-06-09,196.63999938964844
2022,01/10/2022,2021-12-29,joint,FB,Meta Platforms Inc -  Class A,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020154.pdf,False,2021-12-29,342.94000244140625,2022-06-09,196.63999938964844
2021,03/05/2021,2021-02-23,self,FB,Facebook - Class A,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018336.pdf,False,2021-02-23,265.8599853515625,2022-06-09,196.63999938964844
2021,03/12/2021,2021-02-23,self,FB,Facebook Inc Class A (Ritu 1985 Trust),purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,False,2021-02-23,265.8599853515625,2022-06-09,196.63999938964844
2021,03/30/2021,2021-02-18,self,FB,Facebook Inc,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217912.pdf,False,2021-02-18,269.3900146484375,2022-06-09,196.63999938964844
2021,03/30/2021,2021-02-18,dependent,FB,Facebook Inc,purchase,"$250,001 - $500,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217912.pdf,False,2021-02-18,269.3900146484375,2022-06-09,196.63999938964844
2020,02/11/2020,2020-01-16,self,FB,"Facebook, Inc. - Class A / Exercised 30 call options (3,000 shares) expiring 1/17/20 at a strike price of $140.",purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015042.pdf,False,2020-01-16,221.77000427246097,2022-06-09,196.63999938964844
2020,02/11/2020,2020-01-16,self,FB,"Facebook, Inc. - Class A / Exercised 20 call options (2,000 shares) expiring 1/17/20 at a strike price of $150.",purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015042.pdf,False,2020-01-16,221.77000427246097,2022-06-09,196.63999938964844
2020,07/08/2020,2020-06-29,self,FB,"Facebook, Inc. - Class A",sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016912.pdf,False,2020-06-29,220.63999938964844,2022-06-09,196.63999938964844
2020,07/08/2020,2020-06-29,self,FB,"Facebook, Inc. - Class A",sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016914.pdf,True,2020-06-29,220.63999938964844,2022-06-09,196.63999938964844
2021,01/11/2021,2020-12-14,,FB,"Facebook, Inc. - Class A (U.S. Trust Holdings)",purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,False,2020-12-14,274.19000244140625,2022-06-09,196.63999938964844
2021,01/11/2021,2020-12-23,,FB,"Facebook, Inc. - Class A (U.S. Trust Holdings)",purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,False,2020-12-23,268.1099853515625,2022-06-09,196.63999938964844
2021,01/11/2021,2020-12-31,,FB,"Facebook, Inc. - Class A (U.S. Trust Holdings)",purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,False,2020-12-31,273.1600036621094,2022-06-09,196.63999938964844
2021,01/11/2021,2020-12-22,,FB,"Facebook, Inc. - Class A (U.S. Trust Holdings)",sale_partial,"$1,001 - $15,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,False,2020-12-22,267.0899963378906,2022-06-09,196.63999938964844
2021,10/06/2021,2021-09-01,,FB,Facebook Inc Class A,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218386.pdf,False,2021-09-01,382.0499877929687,2022-06-09,196.63999938964844
2020,09/20/2020,2020-08-04,joint,FB,"Facebook, Inc. - Class A",purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017335.pdf,False,2020-08-04,249.8300018310547,2022-06-09,196.63999938964844
2020,10/14/2020,2020-09-16,,FB,"Facebook, Inc. - Class A",purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017505.pdf,False,2020-09-16,263.5199890136719,2022-06-09,196.63999938964844
2021,03/12/2021,2021-02-11,dependent,FB,Facebook Inc (2020 Irrev Trust FBO Grandchildren),purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,False,2021-02-11,270.3900146484375,2022-06-09,196.63999938964844
2021,03/12/2021,2021-02-11,self,FB,Facebook Inc (Ritu 1985 Trust),purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,False,2021-02-11,270.3900146484375,2022-06-09,196.63999938964844
2021,03/12/2021,2021-02-24,self,FB,Facebook Inc Class A (Ritu 1985 Trust),purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,False,2021-02-24,264.30999755859375,2022-06-09,196.63999938964844
2021,03/12/2021,2021-02-22,self,FB,Facebook Class A,purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,False,2021-02-22,260.3299865722656,2022-06-09,196.63999938964844
2020,07/22/2020,2020-06-19,,FB,Facebook class A,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217406.pdf,False,2020-06-19,238.7899932861328,2022-06-09,196.63999938964844
2020,07/17/2020,2020-06-11,,FB,"Facebook, Inc. - Class A",sale_partial,"$1,001 - $15,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016915.pdf,True,2020-06-11,224.42999267578125,2022-06-09,196.63999938964844
2021,05/07/2021,2021-04-16,joint,FB,Facebook Inc Class A,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018699.pdf,False,2021-04-16,306.17999267578125,2022-06-09,196.63999938964844
2020,12/09/2020,2020-11-06,joint,FB,"Facebook, Inc. - Class A",sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017827.pdf,False,2020-11-06,293.4100036621094,2022-06-09,196.63999938964844
2021,11/15/2021,2021-10-18,joint,FB,Meta Platform Inc - Class A,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf,False,2021-10-18,335.3399963378906,2022-06-09,196.63999938964844
2021,11/15/2021,2021-10-26,joint,FB,Meta Platform Inc - Class A,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf,False,2021-10-26,315.80999755859375,2022-06-09,196.63999938964844
2021,11/15/2021,2021-10-27,joint,FB,Meta Platform Inc - Class A,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019761.pdf,False,2021-10-27,312.2200012207031,2022-06-09,196.63999938964844
2022,05/16/2022,2022-04-20,joint,FB,Meta Platforms Inc Class A,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020956.pdf,False,2022-04-20,200.4199981689453,2022-06-09,196.63999938964844
2020,06/09/2020,2020-05-08,self,FB,"Facebook, Inc. - Class A",sale_partial,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf,True,2020-05-08,212.3500061035156,2022-06-09,196.63999938964844
2022,03/02/2022,2022-02-09,,FB,Meta Platforms Inc,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218587.pdf,False,2022-02-09,232.0,2022-06-09,196.63999938964844
2020,05/07/2020,2020-04-02,,FB,"Facebook, Inc. - Class A",sale_partial,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016559.pdf,False,2020-04-02,158.19000244140625,2022-06-09,196.63999938964844
2020,05/13/2020,2020-04-30,joint,FB,"Facebook, Inc. - Class A",purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016556.pdf,False,2020-04-30,204.7100067138672,2022-06-09,196.63999938964844
2022,02/18/2022,2022-01-25,joint,MSFT,Microsoft Corporation - Call Options $145 strike Expire 09/16/2022,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False,2022-01-25,287.2257385253906,2022-06-09,270.4100036621094
2021,09/08/2021,2021-08-30,,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,False,2021-08-30,301.7076110839844,2022-06-09,270.4100036621094
2021,09/08/2021,2021-08-11,,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,False,2021-08-11,284.62591552734375,2022-06-09,270.4100036621094
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False,2021-06-22,263.3595275878906,2022-06-09,270.4100036621094
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False,2021-06-22,263.3595275878906,2022-06-09,270.4100036621094
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False,2021-06-22,263.3595275878906,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $160 - expiry 1/20/2023,sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $155 - expiry 1/20/2023,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $150 - expiry 1/20/2023,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $145 - expiry 1/20/2023,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $160 - expiry 9/16/2022,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $150 - expiry 9/16/2022,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $145 - expiry 9/16/2022,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2020,05/09/2020,2020-04-20,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016572.pdf,False,2020-04-20,171.49929809570312,2022-06-09,270.4100036621094
2020,05/12/2020,2020-04-20,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016587.pdf,False,2020-04-20,171.49929809570312,2022-06-09,270.4100036621094
2020,05/09/2020,2020-04-27,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016572.pdf,False,2020-04-27,170.50982666015625,2022-06-09,270.4100036621094
2021,01/15/2021,2020-12-10,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018029.pdf,False,2020-12-10,207.85513305664065,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-25,joint,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-25,226.6120452880859,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_partial,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $150 expires 3/18/2022",purchase,"$5,000,001 - $25,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $145 expires 3/18/2022",purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $160 expires 1/21/2022",purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
2021,12/13/2021,2021-11-15,joint,MSFT,"Microsoft Corporation - Call option, strike of $160 expires 9/16/2022",sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019961.pdf,False,2021-11-15,333.9862060546875,2022-06-09,270.4100036621094
